pairing_id,timing,buyer,mode,run_idx,kind,total_calendar_s,total_active_s,final_tier,dnf,dnf_reason_category,dnf_reason,final_mass,t1_entry_s,t2_entry_s,t3_entry_s,t4_entry_s,t1_active_s,t2_active_s,t3_active_s,t4_active_s,t1_exit_mass,t2_exit_mass,t3_exit_mass,t4_exit_mass
p1,realistic-engaged,comp-hoarder,completion,14,engagement-profile,87948.80,9000.00,4,N,,,461442.73,0.00,700.00,28836.80,87056.80,0.00,3600.00,4500.00,900.00,1.0062e+0,3.5444e+5,6.6656e+7,
p1,realistic-engaged,comp-hoarder,completion,15,engagement-profile,124506.28,9000.00,4,N,,,3342685.74,0.00,700.00,70514.57,123610.28,0.00,3600.00,4500.00,900.00,1.0062e+0,9.3947e+5,1.3283e+8,
p1,realistic-engaged,comp-hoarder,completion,16,engagement-profile,97550.46,10800.00,4,N,,,38919031.36,0.00,700.00,6532.97,96652.46,0.00,3600.00,6300.00,900.00,1.0062e+0,4.1369e+4,9.2498e+8,
p1,realistic-engaged,comp-hoarder,completion,17,engagement-profile,118007.77,8100.00,4,N,,,312449.34,0.00,700.00,33599.44,117111.77,0.00,3600.00,3600.00,900.00,1.0062e+0,4.2130e+5,6.3231e+7,
p1,realistic-engaged,comp-hoarder,completion,18,engagement-profile,132608.39,8100.00,4,N,,,7690040.51,0.00,700.00,12825.27,131711.39,0.00,3600.00,3600.00,900.00,1.0062e+0,1.2970e+5,4.1551e+8,
p1,realistic-engaged,comp-hoarder,completion,19,engagement-profile,126377.20,9000.00,4,N,,,3095681.52,0.00,700.00,33527.24,125480.20,0.00,3600.00,4500.00,900.00,1.0062e+0,4.2029e+5,3.7677e+7,
p1,realistic-engaged,comp-hoarder,completion,20,engagement-profile,170574.64,7200.00,4,N,,,217636.11,0.00,700.00,88167.43,169678.64,0.00,3600.00,2700.00,900.00,1.0062e+0,1.1873e+6,2.7632e+8,
p1,realistic-engaged,comp-hoarder,completion,21,engagement-profile,113801.71,10800.00,4,N,,,928970006.72,0.00,700.00,8318.01,112903.71,0.00,3600.00,6300.00,900.00,1.0062e+0,6.6439e+4,6.7483e+9,
p1,realistic-engaged,comp-hoarder,completion,22,engagement-profile,208510.67,10800.00,4,N,,,1107034549.46,0.00,700.00,38361.47,207613.67,0.00,3600.00,6300.00,900.00,1.0062e+0,4.8814e+5,7.9512e+9,
p1,realistic-engaged,comp-hoarder,completion,23,engagement-profile,137372.75,10800.00,4,N,,,51727345.68,0.00,700.00,63690.43,136474.75,0.00,3600.00,6300.00,900.00,1.0062e+0,8.4368e+5,6.2567e+8,
p1,realistic-engaged,comp-hoarder,completion,24,engagement-profile,83477.85,9900.00,4,N,,,564855.30,0.00,700.00,13559.45,82579.85,0.00,3600.00,5400.00,900.00,1.0062e+0,1.4001e+5,2.3803e+7,
p1,realistic-engaged,comp-hoarder,completion,25,engagement-profile,134326.80,7200.00,4,N,,,1452889.00,0.00,700.00,39295.98,133434.80,0.00,3600.00,2700.00,900.00,1.0062e+0,5.0126e+5,4.1717e+7,
p1,realistic-engaged,comp-hoarder,completion,26,engagement-profile,150768.95,9000.00,4,N,,,2886306.46,0.00,700.00,18849.82,149872.95,0.00,3600.00,4500.00,900.00,1.0062e+0,2.1426e+5,1.7125e+8,
p1,realistic-engaged,comp-hoarder,completion,27,engagement-profile,178571.92,9900.00,4,N,,,11295340.25,0.00,700.00,5952.58,177673.92,0.00,3600.00,5400.00,900.00,1.0062e+0,3.3228e+4,4.9685e+8,
p1,realistic-engaged,comp-hoarder,completion,28,engagement-profile,149546.41,8100.00,4,N,,,779871.62,0.00,700.00,18778.68,148649.41,0.00,3600.00,3600.00,900.00,1.0062e+0,2.1326e+5,1.7843e+7,
p1,realistic-engaged,comp-hoarder,completion,29,engagement-profile,158297.39,9000.00,4,N,,,3805156.58,0.00,700.00,16056.87,157400.39,0.00,3600.00,4500.00,900.00,1.0062e+0,1.7506e+5,2.9481e+8,
p1,realistic-engaged,comp-hoarder,completion,30,engagement-profile,203054.51,10800.00,4,N,,,5170877.30,0.00,700.00,14880.57,202157.51,0.00,3600.00,6300.00,900.00,1.0062e+0,1.5855e+5,5.5658e+7,
p1,realistic-engaged,comp-hoarder,completion,31,engagement-profile,139234.67,9000.00,4,N,,,217582182.44,0.00,700.00,24215.80,138338.67,0.00,3600.00,4500.00,900.00,1.0062e+0,2.8958e+5,2.9212e+9,
p1,realistic-engaged,comp-hoarder,completion,32,engagement-profile,145690.11,9900.00,4,N,,,8697157.56,0.00,700.00,8425.76,144793.11,0.00,3600.00,5400.00,900.00,1.0062e+0,6.7941e+4,4.4157e+8,
p1,realistic-engaged,comp-hoarder,completion,33,engagement-profile,129073.75,9900.00,4,N,,,1483722.77,0.00,700.00,22470.59,128176.75,0.00,3600.00,5400.00,900.00,1.0062e+0,2.6509e+5,3.3690e+7,
p1,realistic-engaged,comp-hoarder,completion,34,engagement-profile,139860.28,9000.00,4,N,,,13860123.83,0.00,700.00,26305.99,138962.28,0.00,3600.00,4500.00,900.00,1.0062e+0,3.1892e+5,1.4230e+8,
p1,realistic-engaged,comp-hoarder,completion,35,engagement-profile,112530.44,8100.00,4,N,,,1536725.21,0.00,700.00,8813.97,112516.44,0.00,3600.00,3600.00,900.00,1.0062e+0,7.3387e+4,2.0229e+7,
p1,realistic-engaged,comp-hoarder,completion,36,engagement-profile,130601.70,8100.00,4,N,,,3707462.62,0.00,700.00,16643.78,129705.70,0.00,3600.00,3600.00,900.00,1.0062e+0,1.8329e+5,2.3335e+7,
p1,realistic-engaged,comp-hoarder,completion,37,engagement-profile,214101.26,8100.00,4,N,,,958637.66,0.00,700.00,49794.65,213204.26,0.00,3600.00,3600.00,900.00,1.0062e+0,6.4863e+5,2.3548e+7,
p1,realistic-engaged,comp-hoarder,completion,38,engagement-profile,104302.72,10800.00,4,N,,,30017862.50,0.00,700.00,19769.92,103406.72,0.00,3600.00,6300.00,900.00,1.0062e+0,2.2717e+5,7.5853e+8,
