pairing_id,timing,buyer,mode,run_idx,kind,total_calendar_s,total_active_s,final_tier,dnf,dnf_reason_category,dnf_reason,final_mass,t1_entry_s,t2_entry_s,t3_entry_s,t4_entry_s,t1_active_s,t2_active_s,t3_active_s,t4_active_s,t1_exit_mass,t2_exit_mass,t3_exit_mass,t4_exit_mass
p4,engaged-burst,completionist,completion,1,engagement-profile,136403.53,4500.00,4,N,,,399455616962.75,0.00,72227.02,122842.29,134906.53,0.00,1500.00,1500.00,1500.00,3.8042e+1,2.0105e+7,9.4562e+9,
p4,engaged-burst,completionist,completion,2,engagement-profile,96919.84,4500.00,4,N,,,12111601241.91,0.00,15937.78,81501.01,95421.84,0.00,1500.00,1500.00,1500.00,3.8042e+1,2.6212e+7,1.2806e+10,
p5,casual-steady,completionist,completion,0,engagement-profile,608170.28,2700.00,4,N,,,142215207544.67,0.00,40855.09,551108.61,607275.28,0.00,900.00,900.00,900.00,2.6420e+1,2.7466e+7,2.2333e+10,
p5,casual-steady,completionist,completion,1,engagement-profile,266507.06,2700.00,4,N,,,7735820999.53,0.00,144167.05,243589.58,265615.06,0.00,900.00,900.00,900.00,2.6420e+1,5.1030e+6,2.6041e+9,
p5,casual-steady,completionist,completion,2,engagement-profile,187539.68,2700.00,4,N,,,2359011697.90,0.00,31588.57,160907.01,186647.68,0.00,900.00,900.00,900.00,2.6420e+1,6.7303e+6,3.4330e+9,
p6,casual-steady,consolidation-threshold,threshold,0,engagement-profile,551999.61,1800.00,4,N,,,43797275.74,0.00,40693.09,551102.61,551112.61,0.00,900.00,,900.00,1.7569e+1,2.5295e+7,9.2465e+6,
p6,casual-steady,consolidation-threshold,threshold,1,engagement-profile,266507.06,2700.00,4,N,,,612105059.41,0.00,144005.05,243583.58,265609.06,0.00,900.00,900.00,900.00,1.7569e+1,4.9080e+6,1.5418e+9,
p6,casual-steady,consolidation-threshold,threshold,2,engagement-profile,187539.68,2700.00,4,N,,,1305606412.54,0.00,31426.57,160901.01,186641.68,0.00,900.00,900.00,900.00,1.7569e+1,6.3916e+6,1.9484e+9,
p7,casual-evening,consolidation-threshold,threshold,0,engagement-profile,553799.61,3600.00,4,N,,,112174331.60,0.00,40655.09,41592.09,552007.61,0.00,,1800.00,1800.00,1.7642e+1,3.5963e+2,3.2453e+9,
p7,casual-evening,consolidation-threshold,threshold,1,engagement-profile,246280.58,3600.00,4,N,,,4825053797.43,0.00,143967.05,144904.05,244488.58,0.00,,1800.00,1800.00,1.7642e+1,3.5963e+2,6.1821e+8,
p7,casual-evening,consolidation-threshold,threshold,2,engagement-profile,163598.01,3600.00,4,N,,,7962959300.82,0.00,31388.57,32325.57,161806.01,0.00,,1800.00,1800.00,1.7642e+1,3.5963e+2,8.0938e+8,
p8,drift-light,consolidation-threshold,threshold,0,engagement-profile,1311605.22,1200.00,4,N,,,24538250.92,0.00,101236.22,1311009.22,1311019.22,0.00,600.00,,600.00,1.6299e+1,2.0400e+7,4.3516e+6,
p8,drift-light,consolidation-threshold,threshold,1,engagement-profile,661317.65,1800.00,4,N,,,12832475.88,0.00,359516.12,607305.46,660721.65,0.00,600.00,600.00,600.00,1.6299e+1,4.1670e+6,1.9033e+9,
p8,drift-light,consolidation-threshold,threshold,2,engagement-profile,463899.19,1800.00,4,N,,,181461559.07,0.00,78069.92,400599.03,463302.19,0.00,600.00,600.00,600.00,1.6299e+1,5.4282e+6,1.7701e+9,
p9,engaged-steady,lazy-stackable,threshold,0,engagement-profile,185199.87,1800.00,4,N,,,1182892.90,0.00,13750.70,184301.87,185183.87,0.00,900.00,,900.00,1.5387e+1,1.4519e+7,8.1070e+4,
p9,engaged-steady,lazy-stackable,threshold,1,engagement-profile,90635.69,2700.00,4,N,,,16358505.52,0.00,48188.02,81795.53,89738.69,0.00,900.00,900.00,900.00,1.5387e+1,2.8166e+6,3.7078e+8,
p9,engaged-steady,lazy-stackable,threshold,2,engagement-profile,64313.23,2700.00,4,N,,,272035718.51,0.00,10661.86,54234.67,63416.23,0.00,900.00,900.00,900.00,1.5387e+1,3.6682e+6,3.9753e+8,
p10,engaged-steady,idle-clicker,threshold,0,engagement-profile,,,1,Y,budget-exhausted,calendar budget exhausted at T1,133500.00,0.00,,,,80100.00,,,,1.3350e+5,,,
p10,engaged-steady,idle-clicker,threshold,1,engagement-profile,,,1,Y,budget-exhausted,calendar budget exhausted at T1,121500.00,0.00,,,,72900.00,,,,1.2150e+5,,,
p10,engaged-steady,idle-clicker,threshold,2,engagement-profile,,,1,Y,budget-exhausted,calendar budget exhausted at T1,144000.00,0.00,,,,86400.00,,,,1.4400e+5,,,
p11,bot-100cpm,greedy-vpc-1.5,completion,0,continuous-bot,4433.00,4433.00,4,N,,,1764751.57,0.00,495.00,2016.00,,0.00,495.00,2016.00,,3.7219e+1,1.1766e+3,1.7648e+6,
p11,bot-100cpm,greedy-vpc-1.5,completion,1,continuous-bot,4433.00,4433.00,4,N,,,1764751.57,0.00,495.00,2016.00,,0.00,495.00,2016.00,,3.7219e+1,1.1766e+3,1.7648e+6,
p11,bot-100cpm,greedy-vpc-1.5,completion,2,continuous-bot,4433.00,4433.00,4,N,,,1764751.57,0.00,495.00,2016.00,,0.00,495.00,2016.00,,3.7219e+1,1.1766e+3,1.7648e+6,
p12,bot-60cpm,greedy-vpc-1.5,completion,0,continuous-bot,4846.00,4846.00,4,N,,,2092866.01,0.00,676.00,2408.00,,0.00,676.00,2408.00,,2.7216e+1,9.8449e+2,2.0929e+6,
p12,bot-60cpm,greedy-vpc-1.5,completion,1,continuous-bot,4846.00,4846.00,4,N,,,2092866.01,0.00,676.00,2408.00,,0.00,676.00,2408.00,,2.7216e+1,9.8449e+2,2.0929e+6,
p12,bot-60cpm,greedy-vpc-1.5,completion,2,continuous-bot,4846.00,4846.00,4,N,,,2092866.01,0.00,676.00,2408.00,,0.00,676.00,2408.00,,2.7216e+1,9.8449e+2,2.0929e+6,
